Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
48573,"Children,Family,Medical",330,3
48574,"Children,Family,Medical",33,3
48575,"Children,Family,Medical",150,3
48576,"Children,Family,Medical",150,3
48577,"Children,Family,Medical",330,3
48578,"Children,Family,Medical",300,3
48579,"Children,Family,Medical",165,3
48580,"Children,Family,Medical",165,3
48581,"Children,Family,Medical",33,3
48582,"Children,Family,Medical",33,3
48583,"Children,Family,Medical",82.5,3
48584,"Children,Family,Medical",15,3
48585,"Children,Family,Medical",66,3
48586,"Children,Family,Medical",132,3
48587,"Children,Family,Medical",75,6
48588,"Children,Family,Medical",300,3
48589,"Children,Family,Medical",33,3
48590,"Children,Family,Medical",66,3
48591,"Children,Family,Medical",33,3
48592,"Children,Family,Medical",165,3
48593,"Children,Family,Medical",300,3
48594,"Children,Family,Medical",150,3
48595,"Children,Family,Medical",165,3
48596,"Children,Family,Medical",33,3
48597,"Children,Family,Medical",132,3
48598,"Children,Family,Medical",66,3
48599,"Children,Family,Medical",630,6
48600,"Children,Family,Medical",495,3
48601,"Children,Family,Medical",165,3
48602,"Children,Family,Medical",165,3
48603,"Children,Family,Medical",330,3
48604,"Children,Family,Medical",300,6
48605,"Children,Family,Medical",1500,3
48606,"Children,Family,Medical",30,3
48607,"Children,Family,Medical",66,3
48608,"Children,Family,Medical",150,3
48609,"Children,Family,Medical",150,3
48610,"Children,Family,Medical",150,3
48611,"Children,Family,Medical",300,3
48612,"Children,Family,Medical",1350,6
48613,"Children,Family,Medical",150,3
48614,"Children,Family,Medical",300,3
48615,"ADHD,Charities,Children,Family,Giving Circle,Medical,Special Needs",3080,56
48616,"Children,Family,Medical",33,3
48617,"Children,Family,Medical",150,3
48618,"Children,Family,Medical",165,3
48619,"Children,Family,Medical",33,3
48620,"Children,Family,Medical",165,3
48621,"Children,Family,Medical",99,3
48622,"Children,Family,Medical",23.1,3
48623,"Children,Family,Medical",165,3
48624,"Children,Family,Medical",300,3
48625,"Children,Family,Medical",330,6
48626,"Children,Family,Medical",120,3
48627,"Children,Family,Medical",150,3
48628,"Children,Family,Medical",33,3
48629,"Children,Family,Medical",165,6
48630,"Children,Family,Medical",82.5,3
48631,"Children,Family,Medical",600,3
48632,"Children,Family,Medical",300,6
48633,"Children,Family,Medical",165,3
48634,"Children,Family,Medical",150,3
48635,"Children,Family,Medical",45,6
48636,"Children,Family,Medical",315,6
48637,"Children,Family,Medical",165,3
48638,"Children,Family,Medical",330,3
48639,"Children,Family,Medical",60,3
48640,"Children,Family,Medical",990,12
48641,"Children,Family,Medical",60,6
48642,"Children,Family,Medical",33,3
48643,"Children,Medical,Single Parents",132,6
48644,"Children,Family,Medical",75,3
48645,"Children,Family,Medical",165,3
48646,"Children,Family,Medical",66,3
48647,"Children,Family,Medical",165,3
48648,"Children,Family,Medical",99,3
48649,"Children,Family,Medical",810,9
48650,"Children,Family,Medical",150,3
48651,"Children,Family,Medical",150,3
48652,"Children,Family,Medical",600,3
48653,"Children,Family,Medical",181.5,9
48654,"Children,Family,Medical",165,3
48655,"Children,Family,Medical",300,3
48656,"Children,Family,Medical",303.6,3
48657,"Children,Family,Medical",300,3
48658,"Children,Family,Medical",165,3
48659,"Children,Family,Medical",60,3
48660,"Children,Family,Medical",6.6,3
48661,"Children,Family,Medical",240,6
48662,"Children,Family,Medical",1296,3
48663,"Children,Family,Medical",16.5,3
48664,"Children,Family,Medical",6.6,3
48665,"Children,Family,Medical",165,3
48666,"Children,Family,Medical",150,3
48667,"Children,Family,Medical",165,3
48668,"Children,Family,Medical",165,3
48669,"Children,Family,Medical",150,3
48670,"Children,Family,Medical",600,3
48671,"Children,Family,Medical",90,3
48672,"Children,Family,Medical",150,3
48673,"Children,Family,Medical",330,3
48674,"Children,Family,Medical",150,3
48675,"Children,Family,Medical",150,3
48676,"Children,Family,Medical",390,6
48677,"Children,Family,Medical",60,3
48678,"Children,Family,Medical",300,3
48679,"Children,Family,Medical",90,3
48680,"Children,Family,Medical",150,3
48681,"Children,Family,Medical",99,3
48682,"Children,Family,Medical",213,12
48683,"Children,Family,Medical",99,6
48684,"Children,Family,Medical",165,3
48685,"Children,Family,Medical",90,3
48686,"Children,Family,Medical",90,3
48687,"Children,Family,Medical",495,3
48688,"Children,Family,Medical",33,3
48689,"Children,Family,Medical",150,3
48690,"Children,Family,Medical",300,3
48691,"Children,Family,Medical",315,6
48692,"Children,Family,Medical",750,3
48693,"Children,Family,Medical",90,3
48694,"Children,Family,Medical",82.5,3
48695,"Children,Family,Medical",165,3
48696,"Children,Family,Medical",30,3
48697,"Children,Family,Medical",94.5,3
48698,"Children,Family,Medical",648,3
48699,"Children,Family,Medical",12,3
48700,"Children,Family,Medical",150,3
48701,"Children,Family,Medical",30,3
48702,"Children,Family,Medical",66,3
48703,"Children,Family,Medical",66,3
48704,"Children,Family,Medical",60,3
48705,"Children,Family,Medical",300,6
48706,"Children,Family,Medical",132,6
48707,"Children,Family,Medical",111,6
48708,"Children,Family,Medical",21,6
48709,"Children,Family,Medical",150,3
48710,"Children,Family,Medical",231,3
48711,"Children,Family,Medical",33,3
48712,"Children,Family,Medical",30,3
48713,"Children,Family,Medical",825,9
48714,"Children,Family,Medical",330,3
48715,"Children,Family,Medical",165,3
48716,"Children,Family,Medical",1530,9
48717,"Children,Family,Hongbao for Hope,Medical,Thematic Campaign",165,10
48718,"Children,Family,Medical",900,9
48719,"Children,Family,Medical",3.3,3
48720,"Children,Family,Medical",165,3
48721,"Children,Family,Medical",33,3
48722,"Children,Family,Medical",30,3
48723,"Children,Family,Medical",31.5,3
48724,"Children,Family,Medical",60,3
48725,"Children,Family,Medical",96,6
48726,"Children,Family,Medical",30,3
48727,"Children,Family,Medical",30,3
48728,"Children,Family,Medical",49.5,6
48729,"Children,Family,Medical",240,9
48730,"Children,Family,Medical",165,3
48731,"Children,Family,Medical",90,9
48732,"Children,Family,Medical",450,3
48733,"Children,Family,Medical",165,3
48734,"Children,Family,Medical",285,6
48735,"Children,Family,Medical",150,3
48736,"Children,Family,Medical",306,3
48737,"Children,Family,Medical",60,3
48738,"Children,Family,Medical",63,3
48739,"Children,Family,Medical",165,3
48740,"Children,Family,Medical",150,3
48741,"Children,Family,Medical",49.5,3
48742,"Children,Elderly,Family,Medical",768,52
48743,"Children,Family,Medical",60,3
48744,"Children,Family,Medical",49.5,3
48745,"Children,Family,Medical",315,3
48746,"Children,Family,Medical",82.5,3
48747,"Children,Family,Medical",66,3
48748,"Charities,Children",400,2
48749,"Children,Family,Medical",66,3
48750,"Children,Family,Medical,Single Parents",660,8
48751,"Children,Family,Medical",66,3
48752,"Children,Family,Medical",150,3
48753,"Children,Family,Medical",49.5,3
48754,"Children,Family,Medical",1290,12
48755,"Children,Family,Medical",45,3
48756,"Children,Family,Medical",150,3
48757,"Children,Family,Medical",60,3
48758,"Children,Family,Medical",150,3
48759,"Children,Family,Medical",300,3
48760,"Children,Family,Medical",75,3
48761,"Children,Family,Medical",450,3
48762,"Children,Family,Medical",132,6
48763,"Children,Family,Medical",3.3,3
48764,"Children,Family,Medical",33,3
48765,"Children,Family,Medical",60,3
48766,"Children,Family,Medical",150,3
48767,"Children,Family,Medical",63,6
48768,"Children,Family,Medical",99,3
48769,"Children,Family,Medical",165,3
48770,"Children,Family,Medical",648,3
48771,"Children,Family,Medical",1665,6
48772,"Children,Family,Medical",150,3
48773,"Children,Family,Medical",150,3
48774,"Children,Family,Medical",99,3
48775,"Children,Family,Medical",150,3
48776,"Children,Family,Medical",3.3,3
48777,"Children,Family,Medical",165,3
48778,"Children,Family,Medical",600,3
48779,"Children,Family,Medical",49.5,6
48780,"Children,Family,Medical",66,3
48781,"Children,Family,Medical",165,3
48782,"Children,Family,Medical",165,3
48783,"Children,Family,Medical",1848,9
48784,"Children,Family,Medical",150,3
48785,"Children,Family,Medical",30,3
48786,"Children,Family,Medical",165,3
48787,"Children,Family,Medical",150,3
48788,"Children,Family,Medical",16.5,3
48789,"Children,Family,Medical",150,3
48790,"Children,Family,Medical",315,6
48791,"Children,Family,Medical",36,3
48792,"Children,Family,Medical",300,3
48793,"Children,Family,Medical",247.5,3
48794,"Children,Family,Medical",330,6
48795,"Children,Family,Medical",4200,12
48796,"Children,Family,Medical",648,3
48797,"Children,Family,Medical",150,3
48798,"Children,Family,Medical",150,3
48799,"Children,Family,Medical",150,3
48800,"Children,Family,Medical",150,3
48801,"Children,Family,Medical",360,6
48802,"Children,Family,Medical",300,3
48803,"Children,Family,Medical",105,3
48804,"Children,Family,Medical",300,3
48805,"Children,Family,Medical",330,6
48806,"Children,Family,Medical",795,9
48807,"Children,Family,Medical",66,3
48808,"Children,Family,Medical",648,3
48809,"Children,Family,Medical",930,9
48810,"Children,Family,Medical",150,3
48811,"Children,Family,Medical",315,3
48812,"Children,Family,Medical",750,6
48813,"Children,Family,Medical",246,12
48814,"Children,Family,Medical",330,3
48815,"Children,Family,Medical",1050,9
48816,"Children,Family,Medical",165,3
48817,"Children,Family,Medical",82.5,3
48818,"Children,Family,Medical",120,3
48819,"Children,Family,Medical",150,3
48820,"Children,Family,Medical",9.9,3
48821,"Children,Family,Medical",60,3
48822,"Children,Family,Medical",60,3
48823,"Children,Family,Medical",1050,6
48824,"Children,Family,Medical",1830,6
48825,"Children,Family,Medical",66,3
48826,"Children,Family,Medical",16.5,3
48827,"Children,Family,Medical",66,3
48828,"Children,Family,Medical",66,3
48829,"Children,Family,Medical",450,6
48830,"Children,Family,Medical",453.66,6
48831,"Children,Family,Medical",150,3
48832,"Children,Family,Medical",165,3
48833,"Children,Family,Medical",60,3
48834,"Children,Family,Medical",60,3
48835,"Children,Family,Medical",66,3
48836,"Children,Family,Medical",165,3
48837,"Children,Family,Medical",150,3
48838,"Children,Family,Medical",648,3
48839,"Children,Family,Medical",150,3
48840,"Children,Family,Medical",600,3
48841,"Children,Family,Medical",300,3
48842,"Children,Family,Medical",90,3
48843,"Children,Family,Hongbao for Hope,Medical,Migrant Workers,Single Parents,Thematic Campaign",5955.6,42
48844,"Children,Family,Medical",165,3
48845,"Children,Family,Medical",115.5,3
48846,"Children,Family,Medical",60,3
48847,"Children,Family,Medical",165,3
48848,"Children,Family,Medical",1296,6
48849,"Children,Family,Medical",165,3
48850,"Children,Family,Medical",1500,3
48851,"Children,Family,Medical",150,3
48852,"Children,Family,Medical",930,6
48853,"Children,Family,Medical",648,3
48854,"Children,Family,Medical",1950,6
48855,"Children,Family,Medical",315,6
48856,"Children,Family,Medical",330,3
48857,"Children,Family,Medical",165,3
48858,"Children,Family,Medical",300,3
48859,"Children,Family,Medical",3600,9
48860,"Children,Family,Medical",525,9
48861,"Children,Family,Medical",300,3
48862,"Children,Family,Medical",150,3
48863,"Children,Family,Medical",600,3
48864,"Children,Family,Medical",600,3
48865,"Children,Family,Medical",165,3
48866,"Children,Family,Medical",150,3
48867,"Children,Family,Medical",165,3
48868,"Children,Family,Medical",150,3
48869,"Children,Family,Medical",66,3
48870,"Children,Family,Medical",90,3
48871,"Children,Family,Medical",750,3
48872,"Children,Family,Medical",60,3
48873,"Children,Family,Medical",165,3
48874,"Children,Family,Medical",225,6
48875,"Children,Family,Medical",90,3
48876,"Children,Family,Medical",99,3
48877,"Children,Family,Medical",165,3
48878,"Children,Family,Medical",84,6
48879,"Children,Family,Medical",1500,3
48880,"Children,Family,Medical",696,6
48881,"Children,Family,Medical",300,3
48882,"Children,Family,Medical",90,3
48883,"Children,Family,Medical",3000,3
48884,"Children,Family,Medical",600,3
48885,"Children,Family,Medical",150,3
48886,"Children,Family,Medical",60,3
48887,"Children,Family,Medical",600,3
48888,"Children,Family,Medical",60,3
48889,"Children,Family,Medical",82.5,3
48890,"Children,Family,Medical",60,3
48891,"Children,Family,Medical",300,3
48892,"Children,Family,Medical",33,3
48893,"Children,Family,Medical",600,3
48894,"Children,Family,Medical",60,3
48895,"Children,Family,Medical",1782,3
48896,"Children,Family,Medical",165,3
48897,"Children,Family,Medical",3000,3
48898,"Children,Family,Medical",165,3
48899,"Children,Family,Medical",6.6,3
48900,"Children,Family,Medical",66,3
48901,"Children,Family,Medical",300,3
48902,"Children,Family,Medical",300,3
48903,"Children,Family,Medical",165,3
48904,"Children,Family,Medical",66,3
48905,"Children,Family,Medical",60,3
48906,"Children,Family,Medical",150,3
48907,"Children,Family,Medical",3000,3
48908,"Children,Family,Medical",150,3
48909,"Children,Family,Medical",15,3
48910,"Children,Family,Medical",60,3
48911,"Children,Family,Medical",300,3
48912,"Children,Family,Medical",17820,6
48913,"Children,Family,Medical",165,3
48914,"Children,Family,Medical",60,3
48915,"Children,Family,Medical",300,3
48916,"Children,Family,Medical",300,6
48917,"Children,Family,Medical",330,3
48918,"Children,Family,Medical",30,3
48919,"Children,Family,Medical",60,6
48920,"Children,Family,Medical",165,3
48921,"Children,Family,Medical",150,3
48922,"Children,Family,Medical",3000,3
48923,"Children,Family,Medical",33,3
48924,"Children,Family,Medical",445.5,3
48925,"Children,Family,Medical",330,3
48926,"Children,Family,Medical",150,3
48927,"Children,Family,Medical",75,3
48928,"Children,Family,Medical",615,6
48929,"Children,Family,Medical",60,3
48930,"Children,Family,Medical",33,3
48931,"Children,Family,Medical",165,3
48932,"Children,Family,Medical",150,3
48933,"Children,Family,Medical",300,3
48934,"Children,Family,Medical",45,3
48935,"Children,Family,Medical",300,3
48936,"Children,Family,Medical",313.5,6
48937,"Children,Family,Medical",165,3
48938,"Children,Family,Medical",30,3
48939,"Children,Family,Medical",1230,9
48940,"Children,Family,Medical",165,3
48941,"Children,Family,Medical",30,3
48942,"Children,Family,Medical",300,6
48943,"Children,Family,Medical",60,3
48944,"Children,Family,Medical",429,6
48945,"Children,Family,Medical",30,3
48946,"Children,Family,Medical",165,3
48947,"Children,Family,Medical",210,3
48948,"Children,Family,Medical",66,3
48949,"Children,Family,Medical",150,3
48950,"Children,Family,Medical",285,6
48951,"Children,Family,Medical",66,3
48952,"Children,Family,Medical",900,6
48953,"Children,Family,Medical",30,3
48954,"Children,Family,Medical",60,3
48955,"Children,Family,Medical",330,3
48956,"Children,Family,Medical",6,3
48957,"Children,Family,Medical",330,3
48958,"Children,Family,Medical",30,3
48959,"Children,Family,Medical",60,3
48960,"Children,Family,Medical",165,3
48961,"Children,Family,Medical",280.5,3
